dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
WH,Wuhan,1,太阳,太阳 ,,tˈai iaŋ,tˈai35 iaŋ,tʰai35iaŋ,tʰaiiaŋ
WH,Wuhan,2,月亮,月亮 ,,ye niaŋ,ye21321 niaŋ,ye21321niaŋ,yeniaŋ
WH,Wuhan,3,星星,星 ,,ɕin,ɕin55,ɕin55,ɕin
WH,Wuhan,4,打雷,打雷 ,,ta nei,ta42 nei213,ta42nei213,tanei
WH,Wuhan,5,闪电,扯霍 ,,tsˈɤ xuo,tsˈɤ42 xuo213,t͡sʰɤ42xuo213,t͡sʰɤxuo
WH,Wuhan,6,下雨,下雨 ,,ɕia y,ɕia35 y42,ɕia35y42,ɕiay
WH,Wuhan,7,下雪,下雪 ,,ɕia ɕie,ɕia24 ɕie213,ɕia24ɕie213,ɕiaɕie
WH,Wuhan,8,冰雹,冰雹 ,,pin pau,pin55 pau35,pin55pau35,pinpau
WH,Wuhan,9,结冰,结冰 ,,tɕie pin,tɕie21321 pin55,t͡ɕie21321pin55,t͡ɕiepin
WH,Wuhan,10,刮风,刮风 ,,kua foŋ,kua21321 foŋ55,kua21321foŋ55,kuafoŋ
WH,Wuhan,11,虹,虹,,kaŋ,kaŋ35,kaŋ35,kaŋ
WH,Wuhan,12,端午节,端午 ,,tan u,tan55 u,tan55u,tanu
WH,Wuhan,13,中秋节,中秋 ,,tsoŋ tɕˈiəu,tsoŋ55 tɕˈiəu55,t͡soŋ55t͡ɕʰiəu55,t͡soŋt͡ɕʰiəu
WH,Wuhan,14,除夕,除夕 ,,tɕˈy ɕi,tɕˈy21321 ɕi213,t͡ɕʰy21321ɕi213,t͡ɕʰyɕi
WH,Wuhan,15,今年,今年 ,,tɕin niɛn,tɕin55 niɛn,t͡ɕin55niɛn,t͡ɕinniɛn
WH,Wuhan,16,明年,明年 ,,min niɛn,min21321 niɛn,min21321niɛn,minniɛn
WH,Wuhan,17,去年,去年 ,,tɕˈy niɛn,tɕˈy35 niɛn,t͡ɕʰy35niɛn,t͡ɕʰyniɛn
WH,Wuhan,18,明天,明天,,min tˈiɛn,min21321 tˈiɛn,min21321tʰiɛn,mintʰiɛn
WH,Wuhan,19,昨天,昨日,,tsuo ɯ,tsuo21321 ɯ,t͡suo21321ɯ,t͡suoɯ
WH,Wuhan,20,今天,今日 ,,tɕin ɯ,tɕin21321 ɯ,t͡ɕin21321ɯ,t͡ɕinɯ
WH,Wuhan,21,星期天,星期天 ,,ɕin tɕˈi tˈiɛn,ɕin55 tɕˈi tˈiɛn55,ɕin55t͡ɕʰitʰiɛn55,ɕint͡ɕʰitʰiɛn
WH,Wuhan,22,麦子,麦子 ,,mɤ tsɿ,mɤ21321 tsɿ,mɤ21321t͡sɹ̩,mɤt͡sɹ̩
