dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
TB,Taibei,1,太阳,太阳 ,,tˈai iɔŋ,tˈai1153 iɔŋ24,tʰaiiɔŋ,tʰai1153iɔŋ24
TB,Taibei,2,月亮,月娘 ,,geʔ liũ,geʔ4432 liũ24,geʔliũ,geʔ4432liũ24
TB,Taibei,3,星星,天星,,tˈĩ tsˈĩ,tˈĩ4433 tsˈĩ44,tʰĩt͡sʰĩ,tʰĩ4433t͡sʰĩ44
TB,Taibei,4,打雷,陈雷 ,,tan lui,tan2411 lui24,tanlui,tan2411lui24
TB,Taibei,5,闪电,闪电 ,,siam tian,siam5355 tian33,siamtian,siam5355tian33
TB,Taibei,6,下雨,落雨,,lɔʔ hɔ,lɔʔ4432 hɔ33,lɔʔhɔ,lɔʔ4432hɔ33
TB,Taibei,7,下雪,落雪 ,,lɔʔ seʔ,lɔʔ4432 seʔ32,lɔʔseʔ,lɔʔ4432seʔ32
TB,Taibei,8,冰雹,冰雹 ,,piŋ pˈauʔ,piŋ4433 pˈauʔ44,piŋpʰauʔ,piŋ4433pʰauʔ44
TB,Taibei,9,结冰,结冰 ,,kiet piŋ,kiet3244 piŋ44,kietpiŋ,kiet3244piŋ44
TB,Taibei,10,刮风,起风 ,,ki hɔŋ,ki5344 hɔŋ44,kihɔŋ,ki5344hɔŋ44
TB,Taibei,11,虹,虹,,hɔŋ,hɔŋ24,hɔŋ,hɔŋ24
TB,Taibei,12,端午节,五日节 ,,gɔ lit tsieʔ,gɔ3311 lit4432 tsieʔ32,gɔlitt͡sieʔ,gɔ3311lit4432t͡sieʔ32
TB,Taibei,13,中秋节,中秋节 ,,tiɔŋ tsˈiu tsieʔ,tiɔŋ4433 tsˈiu4433 tsieʔ32,tiɔŋt͡sʰiut͡sieʔ,tiɔŋ4433t͡sʰiu4433t͡sieʔ32
TB,Taibei,14,除夕,二九暗 ,,li kau am,li3311 kau5355 am11,likauam,li3311kau5355am11
TB,Taibei,15,今年,今年 ,,kin lĩ,kin4433 lĩ24,kinlĩ,kin4433lĩ24
TB,Taibei,16,明年,明年 ,,buã lĩ,buã2411 lĩ24,buãlĩ,buã2411lĩ24
TB,Taibei,17,去年,旧年,,ku lĩ,ku3311 lĩ24,kulĩ,ku3311lĩ24
TB,Taibei,18,明天,明仔再 ,,bĩ a tsai,bĩ2433 a5344 tsai11,bĩat͡sai,bĩ2433a5344t͡sai11
TB,Taibei,19,昨天,昨荒 ,,tsa hŋ,tsa2411 hŋ44,t͡sahŋ,t͡sa2411hŋ44
TB,Taibei,20,今天,今仔日,,kin lã lit,kin4433 lã44 lit44,kinlãlit,kin4433lã44lit44
TB,Taibei,21,星期天,礼拜日 ,,le pai lit,le5344 pai1153 lit44,lepailit,le5344pai1153lit44
TB,Taibei,22,麦子,麦仔 ,,beʔ a,beʔ4432 a53,beʔa,beʔ4432a53
TB,Taibei,23,大米,米,,bi,bi53,bi,bi53
TB,Taibei,24,蚕豆,蚕豆 ,,tsˈan tau,tsˈan2411 tau33,t͡sʰantau,t͡sʰan2411tau33
TB,Taibei,25,向日葵,向阳花 ,,hiɔŋ iɔŋ hue,hiɔŋ1153 iɔŋ2433 hue44,hiɔŋiɔŋhue,hiɔŋ1153iɔŋ2433hue44
TB,Taibei,26,菠菜,菠邻仔菜 ,,po lin a tsˈai,po4433 lin2411 a5344 tsˈai11,polinat͡sʰai,po4433lin2411a5344t͡sʰai11
TB,Taibei,27,卷心菜,卷心菜 ,,kŋ̩ sim tsˈai,kŋ̩5344 sim4433 tsˈai11,kŋ̩simt͡sʰai,kŋ̩5344sim4433t͡sʰai11
TB,Taibei,28,西红柿,塔麻道 ,,tˈa bã to,tˈa3311 bã5344 to11,tʰabãto,tʰa3311bã5344to11
TB,Taibei,29,茄子,茄 ,,kio,kio24,kio,kio24
TB,Taibei,30,白薯,蕃薯 ,,han tsi,han4433 tsi24,hant͡si,han4433t͡si24
TB,Taibei,31,马铃薯,马铃薯 ,,bã liŋ tsi,bã5344 liŋ2411 tsi24,bãliŋt͡si,bã5344liŋ2411t͡si24
TB,Taibei,32,南瓜,金瓜 ,,kim kue,kim4433 kue44,kimkue,kim4433kue44
TB,Taibei,33,猪,猪,,ti,ti44,ti,ti44
TB,Taibei,34,公猪,猪公 ,,ti kaŋ,ti4433 kaŋ44,tikaŋ,ti4433kaŋ44
TB,Taibei,35,母猪,猪母 ,,ti bu,ti4433 bu53,tibu,ti4433bu53
TB,Taibei,36,公鸡,鸡公 ,,ke kaŋ,ke4433 kaŋ44,kekaŋ,ke4433kaŋ44
TB,Taibei,37,母鸡,鸡母 ,,ke bu,ke4433 bu53,kebu,ke4433bu53
TB,Taibei,38,麻雀,粟鸟仔 ,,tsˈiʔ tsiau a,tsˈiʔ44 tsiau5355 a53,t͡sʰiʔt͡siaua,t͡sʰiʔ44t͡siau5355a53
TB,Taibei,39,老鼠,老鼠 ,,liau tsˈi,liau5355 tsˈi53,liaut͡sʰi,liau5355t͡sʰi53
TB,Taibei,40,臭虫,木虱,,baʔ sat,baʔ4432 sat32,baʔsat,baʔ4432sat32
TB,Taibei,41,房子(整),厝,,tsˈu,tsˈu11,t͡sʰu,t͡sʰu11
TB,Taibei,42,房子(单),房间 ,,paŋ kiŋ,paŋ2411 kiŋ44,paŋkiŋ,paŋ2411kiŋ44
TB,Taibei,43,窗户,窗仔 ,,tˈaŋ a,tˈaŋ4433 a53,tʰaŋa,tʰaŋ4433a53
TB,Taibei,44,门坎,户钉 ,,ho tiŋ,ho3311 tiŋ33,hotiŋ,ho3311tiŋ33
TB,Taibei,45,厕所,便所 ,,pien so,pien3311 so53,pienso,pien3311so53
TB,Taibei,46,厨房,厨房 ,,tu paŋ,tu2411 paŋ24,tupaŋ,tu2411paŋ24
TB,Taibei,47,烟囱,烟筒 ,,ien taŋ,ien4433 taŋ24,ientaŋ,ien4433taŋ24
TB,Taibei,48,桌子,桌仔 ,,toʔ a,toʔ3244 a53,toʔa,toʔ3244a53
TB,Taibei,49,楼梯,楼梯 ,,lau tˈui,lau2411 tˈui44,lautʰui,lau2411tʰui44
TB,Taibei,50,头,头 ,,tˈau,tˈau24,tʰau,tʰau24
TB,Taibei,51,额头,额头 ,,hiaʔ tˈau,hiaʔ4432 tˈau24,hiaʔtʰau,hiaʔ4432tʰau24
TB,Taibei,52,脸,面 ,,bin,bin33,bin,bin33
TB,Taibei,53,鼻子,鼻 ,,pˈĩ,pˈĩ33,pʰĩ,pʰĩ33
TB,Taibei,54,脖子,颔颈 ,,am kun,am3311 kun53,amkun,am3311kun53
TB,Taibei,55,左手,倒手 ,,to tsˈiu,to1153 tsˈiu53,tot͡sʰiu,to1153t͡sʰiu53
TB,Taibei,56,右手,正手 ,,tsiã tsˈiu,tsiã1153 tsˈiu53,t͡siãt͡sʰiu,t͡siã1153t͡sʰiu53
TB,Taibei,57,拳头,拳头 ,,kun tˈau,kun2411 tˈau24,kuntʰau,kun2411tʰau24
