dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
TY,Taiyuan,1,谁啊?我是老三。,谁了?我是老三,,suei lɤ ɣɤ sɿ lau sæ̃,suei11 lɤ ɣɤ53 sɿ45 lau53 sæ̃11,sueilɤɣɤsɹ̩lausæ̃,suei11lɤɣɤ53sɹ̩45lau53sæ̃11
TY,Taiyuan,2,老四呢?她正跟一个朋友说着话呢。,老四嘞?她正和一个朋友倒楔嘞,,lau sɿ lɤ tˈa tsəŋ kəŋ iəʔ kɤ pˈəŋ iəu tau ɕiəʔ lɤ,lau53 sɿ45 lɤ tˈa11 tsəŋ45 kəŋ11 iəʔ2 kɤ45 pˈəŋ11 iəu11 tau53 ɕiəʔ2 lɤ,lausɹ̩lɤtʰat͡səŋkəŋiəʔkɤpʰəŋiəutauɕiəʔlɤ,lau53sɹ̩45lɤtʰa11t͡səŋ45kəŋ11iəʔ2kɤ45pʰəŋ11iəu11tau53ɕiəʔ2lɤ
TY,Taiyuan,3,她还没说完吗?,她还没倒楔完嘞,,tˈa xai məʔ tau ɕiəʔ væ̃ lɤ,tˈa11 xai11 məʔ tau53 ɕiəʔ2 væ̃53 lɤ,tʰaxaiməʔtauɕiəʔvæ̃lɤ,tʰa11xai11məʔtau53ɕiəʔ2væ̃53lɤ
TY,Taiyuan,4,还没有。大概再有一会儿就说完了。,还没啦。大概再有一阵阵就倒楔完咧,,xai məʔ la ta kai tsai iəu iəʔ tsəŋ tsəŋ tɕiəu tau ɕiəʔ væ̃ lie,xai11 məʔ la11 ta45 kai45 tsai45 iəu53 iəʔ2 tsəŋ45 tsəŋ4553 tɕiəu45 tau53 ɕiəʔ2 væ̃53 lie11,xaiməʔlatakait͡saiiəuiəʔt͡səŋt͡səŋt͡ɕiəutauɕiəʔvæ̃lie,xai11məʔla11ta45kai45t͡sai45iəu53iəʔ2t͡səŋ45t͡səŋ4553t͡ɕiəu45tau53ɕiəʔ2væ̃53lie11
TY,Taiyuan,5,他说马上就走，怎么这半天了还在家里?,他说立马就走，咋地这半天咧还在家嘞,,tˈa suəʔ liəʔ ma tɕiəu tsaʔ ti tsəʔ pæ̃ tˈie lie xai tsai tɕia lɤ,tˈa11 suəʔ2 liəʔ245 ma53 tɕiəu53 tsaʔ2 ti45 tsəʔ2 pæ̃45 tˈie11 lie11 xai11 tsai45 tɕia11 lɤ,tʰasuəʔliəʔmat͡ɕiəut͡saʔtit͡səʔpæ̃tʰieliexait͡sait͡ɕialɤ,tʰa11suəʔ2liəʔ245ma53t͡ɕiəu53t͡saʔ2ti45t͡səʔ2pæ̃45tʰie11lie11xai11t͡sai45t͡ɕia11lɤ
TY,Taiyuan,6,你到哪儿去?我到城里去。,你去哪去呀?我去城里去呀,,ni tɕˈy na kəʔ ia ɣɤ tɕˈy tsˈəŋ li kəʔ ia,ni53 tɕˈy45 na53 kəʔ ia45 ɣɤ53 tɕˈy45 tsˈəŋ11 li53 kəʔ ia45,nit͡ɕʰynakəʔiaɣɤt͡ɕʰyt͡sʰəŋlikəʔia,ni53t͡ɕʰy45na53kəʔia45ɣɤ53t͡ɕʰy45t͡sʰəŋ11li53kəʔia45
TY,Taiyuan,7,在那儿，不在这儿。,在兀儿家。不在这儿家,,tsai var tɕia pəʔ tsai tsar tɕia,tsai45 var53 tɕia11 pəʔ2 tsai45 tsar53 tɕia11,t͡saivart͡ɕiapəʔt͡sait͡sart͡ɕia,t͡sai45var53t͡ɕia11pəʔ2t͡sai45t͡sar53t͡ɕia11
TY,Taiyuan,8,不是那么做，要这么做。,不是𠰻的做，是□的做,,pəʔ sɿ vai təʔ tsuəʔ sɿ tsai təʔ tsuəʔ,pəʔ2 sɿ45 vai53 təʔ tsuəʔ2 sɿ45 tsai53 təʔ tsuəʔ2,pəʔsɹ̩vaitəʔt͡suəʔsɹ̩t͡saitəʔt͡suəʔ,pəʔ2sɹ̩45vai53təʔt͡suəʔ2sɹ̩45t͡sai53təʔt͡suəʔ2
TY,Taiyuan,9,太多了，用不着那么多，只要这么多就够了。,太多咧，用不咾兀来多。光这些儿就够咧,,tˈau tɤ lie yəŋ pəʔ lau vəʔ lai tɤ kuɒ̃ tsəʔ ɕiar tɕiəu kəu lie,tˈau45 tɤ11 lie53 yəŋ45 pəʔ2 lau53 vəʔ245 lai53 tɤ11 kuɒ̃53 tsəʔ254 ɕiar11 tɕiəu45 kəu45 lie53,tʰautɤlieyəŋpəʔlauvəʔlaitɤkuɒ̃t͡səʔɕiart͡ɕiəukəulie,tʰau45tɤ11lie53yəŋ45pəʔ2lau53vəʔ245lai53tɤ11kuɒ̃53t͡səʔ254ɕiar11t͡ɕiəu45kəu45lie53
TY,Taiyuan,10,这个大，那个小，这两个哪一个好一点呢?,□大，𠰻小，这俩个哪个好些儿,,tsai ta vai ɕiau tsəʔ lia kɤ  na kɤ xau ɕiar,tsai53 ta45 vai53 ɕiau53 tsəʔ2 lia53 kɤ  na53 kɤ xau53 ɕiar11,t͡saitavaiɕiaut͡səʔliakɤnakɤxauɕiar,t͡sai53ta45vai53ɕiau53t͡səʔ2lia53kɤna53kɤxau53ɕiar11
