dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
BJ,Beijing,1,太阳,太阳,,tˈai iɑŋ,tˈai51 iɑŋ1,tʰaiiɑŋ,tʰai51iɑŋ1
BJ,Beijing,2,月亮,月亮,,yɛ liɑŋ,yɛ51 liɑŋ1,yɛliɑŋ,yɛ51liɑŋ1
BJ,Beijing,3,星星,星星,,ɕiŋ ɕiŋ,ɕiŋ55 ɕiŋ2,ɕiŋɕiŋ,ɕiŋ55ɕiŋ2
BJ,Beijing,4,打雷,打雷,,ta lei,ta21421 lei35,talei,ta21421lei35
BJ,Beijing,5,闪电,闪电,,ʂan tian,ʂan21421 tian51,ʂantian,ʂan21421tian51
BJ,Beijing,6,下雨,下雨,,ɕia y,ɕia51 y214,ɕiay,ɕia51y214
BJ,Beijing,7,下雪,下雪,,ɕia ɕyɛ,ɕia51 ɕyɛ214,ɕiaɕyɛ,ɕia51ɕyɛ214
BJ,Beijing,8,冰雹,雹子,,pɑu tsɿ,pɑu35 tsɿ3,pɑut͡sɹ̩,pɑu35t͡sɹ̩3
BJ,Beijing,9,结冰,结冰,,tɕiɛ piŋ,tɕiɛ55 piŋ55,t͡ɕiɛpiŋ,t͡ɕiɛ55piŋ55
BJ,Beijing,10,刮风,刮风,,kua fəŋ,kua55 fəŋ55,kuafəŋ,kua55fəŋ55
BJ,Beijing,11,虹,虹,,xuŋ,xuŋ35,xuŋ,xuŋ35
BJ,Beijing,12,端午节,五月节,,u yɛ tɕiɛ,u21421 yɛ51 tɕiɛ35,uyɛt͡ɕiɛ,u21421yɛ51t͡ɕiɛ35
BJ,Beijing,13,中秋节,八月节,,pa yɛ tɕiɛ,pa5535 yɛ51 tɕiɛ35,payɛt͡ɕiɛ,pa5535yɛ51t͡ɕiɛ35
BJ,Beijing,14,除夕,三十儿,,san ʂər,san55 ʂər35,sanʂər,san55ʂər35
BJ,Beijing,15,今年,今年,,tɕin nian,tɕin55 nian35,t͡ɕinnian,t͡ɕin55nian35
BJ,Beijing,16,明年,明年,,miŋ nian,miŋ35 nian35,miŋnian,miŋ35nian35
BJ,Beijing,17,去年,去年,,tɕˈy nian,tɕˈy51 nian35,t͡ɕʰynian,t͡ɕʰy51nian35
BJ,Beijing,18,明天,明儿,,miə̃r,miə̃r35,miə̃r,miə̃r35
BJ,Beijing,19,昨天,昨儿,,tsuor,tsuor35,t͡suor,t͡suor35
BJ,Beijing,20,今天,今儿,,tɕiər,tɕiər55,t͡ɕiər,t͡ɕiər55
BJ,Beijing,21,星期天,礼拜天,,li pai tˈian,li21421 pai51 tˈian55,lipaitʰian,li21421pai51tʰian55
BJ,Beijing,22,麦子,麦子,,mai tsɿ,mai51 tsɿ1,mait͡sɹ̩,mai51t͡sɹ̩1
BJ,Beijing,23,大米,大米,,ta mi,ta51 mi214,tami,ta51mi214
BJ,Beijing,24,蚕豆,蚕豆,,tsˈan tou,tsˈan35 tou51,t͡sʰantou,t͡sʰan35tou51
BJ,Beijing,25,向日葵,向日葵,,ɕiaŋ ʐʅ kˈuei,ɕiaŋ51 ʐʅ1 kˈuei35,ɕiaŋʐɻ̩kʰuei,ɕiaŋ51ʐɻ̩1kʰuei35
BJ,Beijing,26,菠菜,菠菜,,po tsˈai,po35 tsˈai51,pot͡sʰai,po35t͡sʰai51
BJ,Beijing,27,卷心菜,洋白菜,,iɑŋ pai tsˈai,iɑŋ35 pai35 tsˈai51,iɑŋpait͡sʰai,iɑŋ35pai35t͡sʰai51
BJ,Beijing,28,西红柿,西红柿,,ɕi xuŋ ʂʅ,ɕi55 xuŋ35 ʂʅ51,ɕixuŋʂɻ̩,ɕi55xuŋ35ʂɻ̩51
BJ,Beijing,29,茄子,茄子,,tɕˈiɛ tsɿ,tɕˈiɛ35 tsɿ3,t͡ɕʰiɛt͡sɹ̩,t͡ɕʰiɛ35t͡sɹ̩3
BJ,Beijing,30,白薯,白薯,,pai ʂu,pai35 ʂu214,paiʂu,pai35ʂu214
BJ,Beijing,31,马铃薯,土豆儿,,tˈu tour,tˈu21421 tour51,tʰutour,tʰu21421tour51
BJ,Beijing,32,南瓜,南瓜,,nan kuə,nan35 kuə3,nankuə,nan35kuə3
BJ,Beijing,33,猪,猪,,tʂu,tʂu55,tʂu,tʂu55
BJ,Beijing,34,公猪,公猪,,kuŋ tʂu,kuŋ55 tʂu55,kuŋtʂu,kuŋ55tʂu55
BJ,Beijing,35,母猪,母猪,,mu tʂu,mu21421 tʂu55,mutʂu,mu21421tʂu55
BJ,Beijing,36,公鸡,公鸡,,kuŋ tɕi,kuŋ55 tɕi55,kuŋt͡ɕi,kuŋ55t͡ɕi55
BJ,Beijing,37,母鸡,母鸡,,mu tɕi,mu21421 tɕi55,mut͡ɕi,mu21421t͡ɕi55
BJ,Beijing,38,麻雀,家雀儿,,tɕia tɕˈiɑur,tɕia55 tɕˈiɑur214,t͡ɕiat͡ɕʰiɑur,t͡ɕia55t͡ɕʰiɑur214
BJ,Beijing,39,老鼠,耗子,,xɑu tsɿ,xɑu51 tsɿ1,xɑut͡sɹ̩,xɑu51t͡sɹ̩1
BJ,Beijing,40,臭虫,臭虫,,tʂˈou tʂˈuŋ,tʂˈou51 tʂˈuŋ1,tʂʰoutʂʰuŋ,tʂʰou51tʂʰuŋ1
BJ,Beijing,41,房子(整),房子,,fɑŋ tsɿ,fɑŋ35 tsɿ2,fɑŋt͡sɹ̩,fɑŋ35t͡sɹ̩2
BJ,Beijing,42,房子(单),屋子,,u tsɿ,u55 tsɿ2,ut͡sɹ̩,u55t͡sɹ̩2
BJ,Beijing,43,窗户,窗户,,tʂˈuɑŋ xu,tʂˈuɑŋ55 xu2,tʂʰuɑŋxu,tʂʰuɑŋ55xu2
BJ,Beijing,44,门坎,门坎儿,,mən kˈar,mən35 kˈar214,mənkʰar,mən35kʰar214
BJ,Beijing,45,厕所,厕所,,tsˈɤ suo,tsˈɤ51 suo214,t͡sʰɤsuo,t͡sʰɤ51suo214
BJ,Beijing,46,厨房,厨房,,tʂˈu fɑŋ,tʂˈu35 fɑŋ35,tʂʰufɑŋ,tʂʰu35fɑŋ35
BJ,Beijing,47,烟囱,烟筒,,ian tˈuŋ,ian55 tˈuŋ2,iantʰuŋ,ian55tʰuŋ2
BJ,Beijing,48,桌子,桌子,,tʂuo tsɿ,tʂuo55 tsɿ2,tʂuot͡sɹ̩,tʂuo55t͡sɹ̩2
BJ,Beijing,49,楼梯,楼梯,,lou tˈi,lou35 tˈi55,loutʰi,lou35tʰi55
BJ,Beijing,50,头,脑袋,,nɑu tai,nɑu21421 tai4,nɑutai,nɑu21421tai4
BJ,Beijing,51,额头,脑门儿,,nɑu mər,nɑu21421 mər35,nɑumər,nɑu21421mər35
BJ,Beijing,52,脸,脸,,lian,lian214,lian,lian214
BJ,Beijing,53,鼻子,鼻子,,pi tsɿ,pi35 tsɿ3,pit͡sɹ̩,pi35t͡sɹ̩3
BJ,Beijing,54,脖子,脖颈儿,,po kə̃r,po35 kə̃r214,pokə̃r,po35kə̃r214
BJ,Beijing,55,左手,左手,,tsuo ʂou,tsuo21435 ʂou214,t͡suoʂou,t͡suo21435ʂou214
BJ,Beijing,56,右手,右手,,iou ʂou,iou51 ʂou214,iouʂou,iou51ʂou214
BJ,Beijing,57,拳头,拳头,,tɕˈyan tˈou,tɕˈyan35 tˈou3,t͡ɕʰyantʰou,t͡ɕʰyan35tʰou3
BJ,Beijing,58,手指头,手指头,,ʂou tʂʅ tˈou,ʂou21421 tʂʅ21435 tˈou4,ʂoutʂɻ̩tʰou,ʂou21421tʂɻ̩21435tʰou4
BJ,Beijing,59,指甲,指甲,,tʂʅ tɕia,tʂʅ55 tɕia2,tʂɻ̩t͡ɕia,tʂɻ̩55t͡ɕia2
BJ,Beijing,60,膝盖,波棱盖儿,,po ləŋ kar,po55 ləŋ2 kar51,poləŋkar,po55ləŋ2kar51
BJ,Beijing,61,腿,腿,,tˈuei,tˈuei214,tʰuei,tʰuei214
BJ,Beijing,62,父亲,爹,,tiɛ,tiɛ55,tiɛ,tiɛ55
BJ,Beijing,63,母亲,娘,,niɑŋ,niɑŋ35,niɑŋ,niɑŋ35
BJ,Beijing,64,祖父,爷爷,,iɛ iɛ,iɛ35 iɛ3,iɛiɛ,iɛ35iɛ3
BJ,Beijing,65,祖母,奶奶,,nai nai,nai21421 nai4,nainai,nai21421nai4
BJ,Beijing,66,伯父,大爷,,ta iɛ,ta51 iɛ1,taiɛ,ta51iɛ1
BJ,Beijing,67,伯母,大妈,,ta ma,ta51 ma55,tama,ta51ma55
BJ,Beijing,68,叔父,叔儿,,ʂur,ʂur55,ʂur,ʂur55
BJ,Beijing,69,叔母,婶儿,,ʂər,ʂər214,ʂər,ʂər214
BJ,Beijing,70,外祖父,姥爷,,lɑu iɛ,lɑu21421 iɛ4,lɑuiɛ,lɑu21421iɛ4
BJ,Beijing,71,外祖母,姥姥,,lɑu lɑu,lɑu21421 lɑu4,lɑulɑu,lɑu21421lɑu4
BJ,Beijing,72,舅舅,舅舅,,tɕiou tɕiou,tɕiou51 tɕiou1,t͡ɕiout͡ɕiou,t͡ɕiou51t͡ɕiou1
BJ,Beijing,73,舅母,舅妈,,tɕiou ma,tɕiou51 ma55,t͡ɕiouma,t͡ɕiou51ma55
