dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
CD,Chengdu,1,谁啊?我是老三。,哪个?我是老三。,,na ko ŋo sɿ nau san,na53 ko13 ŋo53 sɿ13 nau53 san55,nakoŋosɹ̩nausan,na53ko13ŋo53sɹ̩13nau53san55
CD,Chengdu,2,老四呢?她正跟一个朋友说着话呢。,老四呢?她正在跟一个朋友说倒话的。,,nau sɿ nan tˈa tsən tsai kən i ko pˈoŋ iəu so xua ni,nau53 sɿ13 nan55 tˈa55 tsən13 tsai13 kən55 i31 ko13 pˈoŋ31 iəu53 so31 xua13 ni55,nausɹ̩nantʰat͡sənt͡saikənikopʰoŋiəusoxuani,nau53sɹ̩13nan55tʰa55t͡sən13t͡sai13kən55i31ko13pʰoŋ31iəu53so31xua13ni55
CD,Chengdu,3,她还没说完吗?,她还没有说完呵?,,tˈa xai mei iəu so uan a,tˈa55 xai31 mei13 iəu5355 so31 uan31 a53,tʰaxaimeiiəusouana,tʰa55xai31mei13iəu5355so31uan31a53
CD,Chengdu,4,还没有。大概再有一会儿就说完了。,还没有。大约还有一下儿就说完了。,,xai mei iəu ta yo xai iəu i xər tɕiəu so uanno,xai31 mei13 iəu5355 ta13 yo31 xai31 iəu53 i31 xər55 tɕiəu13 so31 uan31no53,xaimeiiəutayoxaiiəuixərt͡ɕiəusouanno,xai31mei13iəu5355ta13yo31xai31iəu53i31xər55t͡ɕiəu13so31uan31no53
CD,Chengdu,5,他说马上就走，怎么这半天了还在家里?,他讲马上就走，咋个这门久了还在屋头呢?,,tˈa tɕiaŋ ma saŋ tɕiəu tsəu tsa ko tse mən tɕiəu no xai tsai u tˈəu ne,tˈa55 tɕiaŋ53 ma53 saŋ13 tɕiəu13 tsəu53 tsa31 ko13 tse13 mən3155 tɕiəu53 no53 xai31 tsai13 u31 tˈəu3155 ne55,tʰat͡ɕiaŋmasaŋt͡ɕiəut͡səut͡sakot͡semənt͡ɕiəunoxait͡saiutʰəune,tʰa55t͡ɕiaŋ53ma53saŋ13t͡ɕiəu13t͡səu53t͡sa31ko13t͡se13mən3155t͡ɕiəu53no53xai31t͡sai13u31tʰəu3155ne55
CD,Chengdu,6,你到哪儿去?我到城里去。,你走哪儿去?我到城后头去。,,ȵi tsəu nər tɕˈie ŋo tau tsˈən xəu tˈəu tɕˈie,ȵi53 tsəu53 nər53 tɕˈie13 ŋo53 tau13 tsˈən31 xəu1353 tˈəu31 tɕˈie,ɲit͡səunərt͡ɕʰieŋotaut͡sʰənxəutʰəut͡ɕʰie,ɲi53t͡səu53nər53t͡ɕʰie13ŋo53tau13t͡sʰən31xəu1353tʰəu31t͡ɕʰie
CD,Chengdu,7,在那儿，不在这儿。,在那儿，不在这儿。,,tsai nər pu tsai tsər,tsai13 nər55 pu31 tsai13 tsər55,t͡sainərput͡sait͡sər,t͡sai13nər55pu31t͡sai13t͡sər55
CD,Chengdu,8,不是那么做，要这么做。,不是那样子做，要这样子做。,,pu sɿ na iaŋ tsɿ tsu iau tse iaŋ tsɿ tsu,pu31 sɿ13 na13 iaŋ13 tsɿ53 tsu13 iau13 tse13 iaŋ13 tsɿ53 tsu13,pusɹ̩naiaŋt͡sɹ̩t͡suiaut͡seiaŋt͡sɹ̩t͡su,pu31sɹ̩13na13iaŋ13t͡sɹ̩53t͡su13iau13t͡se13iaŋ13t͡sɹ̩53t͡su13
CD,Chengdu,9,太多了，用不着那么多，只要这么多就够了。,太多了，用不倒那门多，只要这门多就够了。,,tˈai to no yoŋ pu tau na mən to tsɿ iau tse mən to tɕiəu kəu no,tˈai13 to55 no53 yoŋ13 pu31 tau53 na13 mən3155 to55 tsɿ53 iau13 tse13 mən3155 to55 tɕiəu13 kəu13 no53,tʰaitonoyoŋputaunaməntot͡sɹ̩iaut͡seməntot͡ɕiəukəuno,tʰai13to55no53yoŋ13pu31tau53na13mən3155to55t͡sɹ̩53iau13t͡se13mən3155to55t͡ɕiəu13kəu13no53
CD,Chengdu,10,这个大，那个小，这两个哪一个好一点呢?,这个大，那个小，这两个哪一个好(一)点儿?,,tse ko ta na ko ɕiau tse niaŋ ko na i ko xau i tiər,tse13 ko1355 ta13 na13 ko1355 ɕiau53 tse13 niaŋ53 ko13 na53 i31 ko13 xau53 i31 tiər53,t͡sekotanakoɕiaut͡seniaŋkonaikoxauitiər,t͡se13ko1355ta13na13ko1355ɕiau53t͡se13niaŋ53ko13na53i31ko13xau53i31tiər53
