dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
NC,Nanchang,1,太阳,太阳,,tˈai iɔŋ,tˈai213 iɔŋ04,tʰaiiɔŋ,tʰai213iɔŋ04
NC,Nanchang,2,月亮,月光,,ȵyɵʔ kuɔŋ,ȵyɵʔ2 kuɔŋ42,ɲyɵʔkuɔŋ,ɲyɵʔ2kuɔŋ42
NC,Nanchang,3,星星,星子 ,,siɑŋ tsɿ,siɑŋ42 tsɿ02,siɑŋtsɹ̩,siɑŋ42tsɹ̩02
NC,Nanchang,4,打雷,打雷 ,,tɑ lui,tɑ213 lui45,tɑlui,tɑ213lui45
NC,Nanchang,5,闪电,打霍闪,,tɑ fɔʔ sɛn,tɑ213 fɔʔ5 sɛn02,tɑfɔʔsɛn,tɑ213fɔʔ5sɛn02
NC,Nanchang,6,下雨,落雨 ,,lɔʔ y,lɔʔ2 y213,lɔʔy,lɔʔ2y213
NC,Nanchang,7,下雪,落雪 ,,lɔʔ ɕyɵʔ,lɔʔ2 ɕyɵʔ5,lɔʔɕyɵʔ,lɔʔ2ɕyɵʔ5
NC,Nanchang,8,冰雹,雹子 ,,pˈɔʔ tsɿ,pˈɔʔ2 tsɿ02,pʰɔʔtsɹ̩,pʰɔʔ2tsɹ̩02
NC,Nanchang,9,结冰,结冰 ,,tɕiɛʔ pin,tɕiɛʔ5 pin42,tɕiɛʔpin,tɕiɛʔ5pin42
NC,Nanchang,10,刮风,起风 ,,tɕˈi fuŋ,tɕˈi213 fuŋ42,tɕʰifuŋ,tɕʰi213fuŋ42
NC,Nanchang,11,虹,虹 ,,kɔŋ,kɔŋ45,kɔŋ,kɔŋ45
NC,Nanchang,12,端午节,端午,,tɵn u,tɵn42 u213,tɵnu,tɵn42u213
NC,Nanchang,13,中秋节,中秋 ,,tsuŋ tɕˈiu,tsuŋ42 tɕˈiu42,tsuŋtɕʰiu,tsuŋ42tɕʰiu42
NC,Nanchang,14,除夕,三十夜晚 ,,san sɨʔ iɑ uan,san42 sɨʔ2 iɑ21 uan213,sansɨʔiɑuan,san42sɨʔ2iɑ21uan213
NC,Nanchang,15,今年,今年 ,,tɕin ȵiɛn,tɕin42 ȵiɛn02,tɕinɲiɛn,tɕin42ɲiɛn02
NC,Nanchang,16,明年,明年 ,,miɑŋ ȵiɛn,miɑŋ45 ȵiɛn04,miɑŋɲiɛn,miɑŋ45ɲiɛn04
NC,Nanchang,17,去年,旧年 ,,tɕˈiu ȵiɛn,tɕˈiu21 ȵiɛn02,tɕʰiuɲiɛn,tɕʰiu21ɲiɛn02
NC,Nanchang,18,明天,明日,,miɑŋ ȵiʔ,miɑŋ45 ȵiʔ04,miɑŋɲiʔ,miɑŋ45ɲiʔ04
NC,Nanchang,19,昨天,昨日,,tsˈɔʔ ȵiʔ,tsˈɔʔ2 ȵiʔ02,tsʰɔʔɲiʔ,tsʰɔʔ2ɲiʔ02
NC,Nanchang,20,今天,今日,,tɕin ȵiʔ,tɕin42 ȵiʔ02,tɕinɲiʔ,tɕin42ɲiʔ02
NC,Nanchang,21,星期天,礼拜 ,,li pai,li213 pai45,lipai,li213pai45
NC,Nanchang,22,麦子,麦子 ,,mɑʔ tsɿ,mɑʔ2 tsɿ02,mɑʔtsɹ̩,mɑʔ2tsɹ̩02
NC,Nanchang,23,大米,米 ,,mi,mi213,mi,mi213
NC,Nanchang,24,蚕豆,蚕豆 ,,tsˈɵn tˈɛu,tsˈɵn24 tˈɛu21,tsʰɵntʰɛu,tsʰɵn24tʰɛu21
NC,Nanchang,25,向日葵,葵花 ,,kˈui fɑ,kˈui24 fɑ42,kʰuifɑ,kʰui24fɑ42
NC,Nanchang,26,菠菜,菠菜 ,,po tsˈai,po42 tsˈai02,potsʰai,po42tsʰai02
NC,Nanchang,27,卷心菜,包菜 ,,pɑu tsˈai,pɑu42 tsˈai02,pɑutsʰai,pɑu42tsʰai02
NC,Nanchang,28,西红柿,番茄 ,,fan tɕˈiɑ,fan42 tɕˈiɑ24,fantɕʰiɑ,fan42tɕʰiɑ24
