dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
WH,Wuhan,1,有一回,有一回,,iəu i xui,iəu42 i21321 xui21321,iəu42i21321xui21321,iəuixui
WH,Wuhan,2,北风跟太阳在那儿争论谁的本事大,北风跟太阳在那里争啥个的本事大,,pɤ foŋ kən tˈai iaŋ tsai na ni tsən sa kuo ti pən sɿ ta,pɤ21321 foŋ55 kən55 tˈai35 iaŋ tsai35 na35 ni tsən55 sa42 kuo ti pən42 sɿ35 ta35,pɤ21321foŋ55kən55tʰai35iaŋtsai35na35nitsən55sa42kuotipən42sɹ̩35ta35,pɤfoŋkəntʰaiiaŋtsainanitsənsakuotipənsɹ̩ta
WH,Wuhan,3,争来争去就是分不出高低来,争来争去还是分不出个高低来,,tsən nai tsən kˈɯ xai sɿ fən pu tɕˈy kuo kau ti nai,tsən55 nai21321 tsən55 kˈɯ35 xai21321 sɿ35 fən55 pu tɕˈy21321 kuo kau55 ti55 nai42,tsən55nai21321tsən55kʰɯ35xai21321sɹ̩35fən55putɕʰy21321kuokau55ti55nai42,tsənnaitsənkʰɯxaisɹ̩fənputɕʰykuokautinai
WH,Wuhan,4,这时候路上来了个走道儿的,这时候路上来了个走路的,,tsɤ sɿ xəu nəu saŋ nai niau kuo tsəu nəu ti,tsɤ35 sɿ21321 xəu nəu35 saŋ nai21321 niau kuo tsəu42 nəu35 ti,tsɤ35sɹ̩21321xəunəu35saŋnai21321niaukuotsəu42nəu35ti,tsɤsɹ̩xəunəusaŋnainiaukuotsəunəuti
WH,Wuhan,5,他身上穿着件厚大衣,他身上穿倒件厚大衣,,tˈa sən saŋ tsˈuan tau tɕiɛn xəu ta i,tˈa55 sən55 saŋ tsˈuan55 tau tɕiɛn35 xəu35 ta35 i55,tʰa55sən55saŋtsʰuan55tautɕiɛn35xəu35ta35i55,tʰasənsaŋtsʰuantautɕiɛnxəutai
WH,Wuhan,6,他们俩就说好了,他们两个就说好了,,tˈa mən niaŋ kuo tsəu suo xau niau,tˈa55 mən niaŋ42 kuo tsəu35 suo21321 xau42 niau,tʰa55mənniaŋ42kuotsəu35suo21321xau42niau,tʰamənniaŋkuotsəusuoxauniau
WH,Wuhan,7,谁能先叫这个走道儿的脱下他的厚大衣,哪个能先叫这个走路的脱下他的厚大衣,,na kuo nən ɕiɛn tɕiau tsɤ kuo tsəu nəu ti tˈip ɕia tˈa ti xəu ta i,na42 kuo nən21321 ɕiɛn55 tɕiau3 tsɤ35 kuo tsəu42 nəu35 ti tˈip21321 ɕia tˈa55 ti xəu35 ta35 i55,na42kuonən21321ɕiɛn55tɕiau3tsɤ35kuotsəu42nəu35titʰip21321ɕiatʰa55tixəu35ta35i55,nakuonənɕiɛntɕiautsɤkuotsəunəutitʰipɕiatʰatixəutai
WH,Wuhan,8,就算谁的本事大,就算哪个的本事大,,tsəu san na kuo ti pən sɿ ta,tsəu35 san35 na42 kuo ti pən42 sɿ35 ta35,tsəu35san35na42kuotipən42sɹ̩35ta35,tsəusannakuotipənsɹ̩ta
WH,Wuhan,9,北风就使劲儿地刮起来了,于是北风就恶事地刮起来了,,y sɿ pɤ foŋ tsəu ŋuo sɿ ti kua tɕˈi nai niau,y21321 sɿ35 pɤ21321 foŋ55 tsəu35 ŋuo21321 sɿ35 ti kua21321 tɕˈi42 nai niau,y21321sɹ̩35pɤ21321foŋ55tsəu35ŋuo21321sɹ̩35tikua21321tɕʰi42nainiau,ysɹ̩pɤfoŋtsəuŋuosɹ̩tikuatɕʰinainiau
WH,Wuhan,10,不过他越是刮得厉害,可是他越是刮得凶,,kˈuo sɿ tˈa ye sɿ kua tɤ ɕioŋ,kˈuo42 sɿ35 tˈa55 ye21321 sɿ35 kua21321 tɤ ɕioŋ55,kʰuo42sɹ̩35tʰa55ye21321sɹ̩35kua21321tɤɕioŋ55,kʰuosɹ̩tʰayesɹ̩kuatɤɕioŋ
